NFL Team,City,State,Stadium Name,Latitude,Longitude,Zip Code
Arizona Cardinals,Glendale,Arizona,State Farm Stadium,33.528,-112.263,85305
Atlanta Falcons,Atlanta,Georgia,Mercedes-Benz Stadium,33.755556,-84.4,30313
Baltimore Ravens,Baltimore,Maryland,M&T Bank Stadium,39.278056,-76.622778,21230
Buffalo Bills,Orchard Park,New York,Bills Stadium,42.774,-78.787,14127
Carolina Panthers,Charlotte,North Carolina,Bank of America Stadium,35.225833,-80.852778,28202
Chicago Bears,Chicago,Illinois,Soldier Field,41.8623,-87.6167,60605
Cincinnati Bengals,Cincinatti,Ohio,Paul Brown Stadium,39.095,-84.516,45202
Cleveland Browns,Cleveland,Ohio,FirstEnergy Stadium,41.506111,-81.699444,44114
Dallas Cowboys,Arlington,Texas,AT&T Stadium,32.747778,-97.092778,76011
Denver Broncos,Denver,Colorado,Empower Field at Mile High,39.741,-105.0197,80204
Detroit Lions,Detroit,Michigan,Ford Field,42.34,-83.045556,48226
Green Bay Packers,Green Bay,Wisconsin,Lambeau Field,44.501389,-88.062222,54307
Houston Texans,Houston,Texas,NRG Stadium,29.684722,-95.410833,77054
Indianapolis Colts,Indianapolis,Indiana,Lucas Oil Stadium,39.760056,-86.163806,46225
Jacksonville Jaguars,Jacksonville,Florida,TIAA Bank Field,30.323889,-81.6375,32202
Kansas City Chiefs,Kansas City,Missouri,Arrowhead Stadium,39.048889,-94.483889,64129
Las Vegas Raiders,Paradise,Nevada,Allegiant Stadium,36.090833,-115.183611,89118
Los Angeles Chargers,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301
Los Angeles Rams,Inglewood,California,SoFi Stadium,33.95345,-118.3392,90301
Miami Dolphins ,Miami Gardens,Florida,Hard Rock Stadium,25.958056,-80.238889,33056
Minnesota Vikings,Minneapolis,Minnessota,U.S. Bank Stadium,44.974,-93.258,55415
New England Patriots,Foxborough,Massachusetts,Gillette Stadium,42.091,-71.264,2035
New Orleans Saints,New Orleans,Louisiana,Mercedes--Benz Superdome,29.950833,-90.081111,70112
New York Giants,East Rutherford,New Jersey,MetLife Stadium,40.813528,-74.074361,7073
New York Jets,East Rutherford,New Jersey,MetLife Stadium,40.813528,-74.074361,7073
Philadelphia Eagles,Philadelphia,Pennsylvania,Lincoln Financial Field,39.900833,-75.1675,19101
Pittsburgh Steelers,Pittsburgh,Pennsylvania,Heinz Field,40.446667,-80.0158333,15212
San Francisco 49ers,Santa Clara,California,Levi's Stadium,37.403,-121.97,95054
Seattle Seahawks,Seattle,Washington,CenturyLink Stadium,47.5952,-122.3316,98134
Tampa Bay Buccaners,Tampa Bay,Florida,Raymond James Stadium,27.975833,-82.503333,33607
Tennessee Titans,Nashville,Tennessee,Nissan Stadium,36.166389,-86.771389,37213
Washington Football Team,Landover,Maryland,FedEx Field,38.90466305,-76.85866323,20785
